experiment,architecture,activation,seq_length,embedding_dim,hidden_dim,num_layers,dropout,bidirectional,batch_size,epochs,learning_rate,optimizer,grad_clip,weight_decay,early_stopping,stopped_early,train_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1,epoch_time_avg
BASE,lstm,N/A,50,100,64,2,0.5,False,32,10,0.001,adam,None,0.0,False,False,0.12225658622096337,0.49043064057598335,0.76876,0.781200301330878,0.74664,0.7635292673947723,24.835525608062746
ARCH_RNN_TANH,rnn,tanh,50,100,64,2,0.5,False,32,10,0.001,adam,None,0.0,False,False,0.689262468415453,0.6581917390646532,0.61944,0.6020226868935356,0.7048,0.649369794353947,11.58870072364807
ARCH_BILSTM,bilstm,N/A,50,100,64,2,0.5,True,32,10,0.001,adam,None,0.0,False,False,0.05978256387478562,0.5046767024585354,0.75304,0.7217470555243971,0.8236,0.7693169929756389,50.68209013938904
RNN_RELU,rnn,relu,50,100,64,2,0.5,False,32,10,0.001,adam,None,0.0,False,False,0.3859685652167596,0.5359017577622552,0.74612,0.7388772420218961,0.76128,0.7499113440245873,10.02517659664154
RNN_SIGMOID,rnn,sigmoid,50,100,64,2,0.5,False,32,10,0.001,adam,None,0.0,False,False,0.6039841220430706,0.6824312963144249,0.57012,0.5592991001961978,0.66136,0.6060628276089586,21.945695424079894
OPT_SGD,lstm,N/A,50,100,64,2,0.5,False,32,10,0.001,sgd,None,0.0,False,False,0.692665404218542,0.6925919724394903,0.51572,0.5201105311636476,0.40656,0.45637824974181673,25.255157017707823
OPT_RMSPROP,lstm,N/A,50,100,64,2,0.5,False,32,10,0.001,rmsprop,None,0.0,False,False,0.17075373843321792,0.5009280984930675,0.76644,0.7614002040656149,0.77608,0.7686700209975833,28.592434668540953
SEQ_25,lstm,N/A,25,100,64,2,0.5,False,32,10,0.001,adam,None,0.0,False,False,0.11956755056991564,0.5556170485361153,0.72264,0.7206278737910259,0.7272,0.723899020466672,15.549425148963929
SEQ_100,lstm,N/A,100,100,64,2,0.5,False,32,10,0.001,adam,None,0.0,False,False,0.22999568593681163,0.4243730917915969,0.8122,0.8071625344352618,0.8204,0.8137274350327316,50.76204748153687
CLIP_ON,lstm,N/A,50,100,64,2,0.5,False,32,10,0.001,adam,1.0,0.0,False,False,0.1159945458621549,0.5054250912898032,0.75444,0.7927828408358648,0.68896,0.7372340880880024,28.948701667785645
ARCH_RNN_TANH_CLIP,rnn,tanh,50,100,64,2,0.5,False,32,10,0.001,adam,1.0,0.0,False,False,0.4454043769775449,0.6113453104596613,0.7096,0.7040816326530612,0.72312,0.7134738337674639,15.117622089385986
ARCH_BILSTM_CLIP,bilstm,N/A,50,100,64,2,0.5,True,32,10,0.001,adam,1.0,0.0,False,False,0.05566748842390676,0.49594373568473266,0.76384,0.7762606801809349,0.74136,0.7584090351092561,50.882487773895264
OPT_SGD_CLIP,lstm,N/A,50,100,64,2,0.5,False,32,10,0.001,sgd,1.0,0.0,False,False,0.692717127940234,0.6926731158552877,0.51736,0.5196238017724725,0.45968,0.48781730197809664,26.071256017684938
OPT_RMSPROP_CLIP,lstm,N/A,50,100,64,2,0.5,False,32,10,0.001,rmsprop,1.0,0.0,False,False,0.1541916978357317,0.5257478229644353,0.748,0.7094877686173807,0.83992,0.7692138618213789,26.767508506774902
